--- Terminal on /dev/ttyACM0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Pitch: 180.61 | Setpoint: 180.18 | Error: 0.42 | Output: -3.89
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.46
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.72
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.46
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.71
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.71
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.45
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.70
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.70
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.44
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.43
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.69
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.43
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.68
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.42
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.67
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.41
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.66
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.40
 | Error: 0.4 | TiltRate: 0.0 | MotorSpeed: -30Pitch: 180.61 | Setpoint: 180.18 | Error: 0.43 | Output: -8.65
